PAKET-NUMARASI,UYDU-STATUSU,HATA-KODU,GONDERME-TARİHİ,BASINC1,BASINC2,YUKSEKLIK1,YUKSEKLIK2,IRTIFA-FARKI,INIS-HIZI,SICAKLIK,PIL-GERILIMI,GPS1-LATITUDE,GPS1-LONGITUDE,GPS1-ALTITUDE,GPS2-LATITUDE,GPS2-LONGITUDE,GPS2-ALTITUDE,PITCH,ROLL,YAW,TAKIM-NO
160,0,01110,26/3/2023,16/54/24,90466, ,-26724, , ,0.00,24.67,2.05,0.00,0.00,0.00, , , ,-4.23,-0.49,-0.98
161,0,01110,26/3/2023,16/54/25,90469, ,-26724, , ,0.00,24.67,2.05,0.00,0.00,0.00, , , ,-4.24,-0.50,-0.97
162,0,01110,26/3/2023,16/54/26,90465, ,-26723, , ,-1.00,24.66,2.08,0.00,0.00,0.00, , , ,-4.24,-0.48,-0.97
163,0,01110,26/3/2023,16/54/27,90462, ,-26723, , ,0.00,24.66,2.07,0.00,0.00,0.00, , , ,-4.25,-0.49,-0.98
164,0,01110,26/3/2023,16/54/28,90463, ,-26723, , ,0.00,24.66,2.08,0.00,0.00,0.00, , , ,-4.26,-0.49,-0.98
165,0,01110,26/3/2023,16/54/29,90465, ,-26724, , ,1.00,24.67,2.15,0.00,0.00,0.00, , , ,-4.26,-0.50,-0.98
166,0,01110,26/3/2023,16/54/30,90465, ,-26723, , ,-1.00,24.66,2.17,0.00,0.00,0.00, , , ,-4.26,-0.47,-0.98
167,0,01110,26/3/2023,16/54/31,90462, ,-26723, , ,0.00,24.66,2.17,0.00,0.00,0.00, , , ,-4.27,-0.48,-0.98
168,0,01110,26/3/2023,16/54/32,90469, ,-26723, , ,0.00,24.66,2.16,0.00,0.00,0.00, , , ,-4.27,-0.52,-0.97
169,0,01110,26/3/2023,16/54/33,90466, ,-26723, , ,0.00,24.66,2.22,0.00,0.00,0.00, , , ,-4.27,-0.53,-0.97
170,0,01110,26/3/2023,16/54/34,90466, ,-26723, , ,0.00,24.66,2.26,0.00,0.00,0.00, , , ,-4.28,-0.53,-0.96
171,0,01110,26/3/2023,16/54/35,90466, ,-26724, , ,1.00,24.67,2.29,0.00,0.00,0.00, , , ,-4.28,-0.53,-0.96
